book_name,author,rating_catalog,number_of_reviews_catalog,price_catalog,description,listening_time,genre,year_catalog,rating_advanced,number_of_reviews_advanced,price_advanced,year_advanced,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31,tfidf_32,tfidf_33,tfidf_34,tfidf_35,tfidf_36,tfidf_37,tfidf_38,tfidf_39,tfidf_40,tfidf_41,tfidf_42,tfidf_43,tfidf_44,tfidf_45,tfidf_46,tfidf_47,tfidf_48,tfidf_49,tfidf_50,tfidf_51,tfidf_52,tfidf_53,tfidf_54,tfidf_55,tfidf_56,tfidf_57,tfidf_58,tfidf_59,tfidf_60,tfidf_61,tfidf_62,tfidf_63,tfidf_64,tfidf_65,tfidf_66,tfidf_67,tfidf_68,tfidf_69,tfidf_70,tfidf_71,tfidf_72,tfidf_73,tfidf_74,tfidf_75,tfidf_76,tfidf_77,tfidf_78,tfidf_79,tfidf_80,tfidf_81,tfidf_82,tfidf_83,tfidf_84,tfidf_85,tfidf_86,tfidf_87,tfidf_88,tfidf_89,tfidf_90,tfidf_91,tfidf_92,tfidf_93,tfidf_94,tfidf_95,tfidf_96,tfidf_97,tfidf_98,tfidf_99,author_encoded,genre_encoded,number_of_reviews_catalog_scaled,number_of_reviews_advanced_scaled
Book 109: The Adventure,J.K. Rowling,3.0,356.0,16.15,A wonderful tale about love,20 hours 48 minutes,Business,2020.0,3.0,356.0,16.15,2020.0,0.2126321286814158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3923304376524053,0.3923304376524053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28313820782605603,0.5362156809585105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20954718869707384,0.0,0.0,0.3923304376524053,0.0,0.0,0.0,0.0,0.0,0.0,0.13318319742621096,0.0,0.0,0.25234058595984915,9,2,-0.9984514433252124,-0.9615334823889439
Book 10: The Journey,Ernest Hemingway,4.2,1186.0,29.37,A wonderful story about love,9 hours 28 minutes,Biography,2006.0,4.2,1186.0,29.37,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4741012464723178,0.4741012464723178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31364514180727243,0.0,0.31940728353455045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241392796445541,0.0,0.0,0.4425866798431576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1502435281658833,0.0,0.27080465159676237,0.0,5,1,-0.49804031773581614,-0.4526134151387107
Book 110: The Mystery,Charles Dickens,4.6,2898.0,27.48,A wonderful saga about adventure,8 hours 43 minutes,Horror,2015.0,4.6,2898.0,27.48,2015.0,0.2047265506102973,0.0,0.0,0.0,0.0,0.0,0.0,0.5486398710162407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41099430998797054,0.41099430998797054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20050945117981225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24485811128512505,0.37774374784324544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12823149905615122,0.24485811128512505,0.0,0.0,3,7,0.5341329919136374,0.5971108681533366
Book 111: The Adventure,Michelle Obama,3.5,3573.0,12.72,A wonderful story about courage,13 hours 41 minutes,Science,2014.0,3.5,3573.0,12.72,2014.0,0.22245215326645346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2882927695987739,0.0,0.0,0.0,0.0,0.0,0.0,0.5129138490596468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40300291958064405,0.40300291958064405,0.0,0.0,0.0,0.0,0.2238647406922082,0.0,0.38327253269527506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13933401894669184,0.0,0.2511409370976398,0.0,17,12,0.9410938470616403,1.0109916457363575
Book 112: The Journey,Agatha Christie,3.3,2259.0,25.3,A wonderful story about love,5 hours 14 minutes,Adventure,2000.0,3.3,2259.0,25.3,2000.0,0.2644004518022569,0.0,0.0,0.5111672361858707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3457208200131292,0.0,0.35207224108570717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26607941398848656,0.0,0.0,0.48784887596405574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1656085455680107,0.0,0.2984991435669406,0.0,0,0,0.1488767157068612,0.2053037320414101
Book 113: The Tale,Bill Bryson,4.1,479.0,34.25,A wonderful saga about mystery,14 hours 14 minutes,Fiction,2006.0,4.1,479.0,34.25,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4183667640150272,0.4183667640150272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19909584867991645,0.0,0.0,0.0,0.0,0.0,0.5447719301852841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24313184832746518,0.0,0.0,0.0,0.3727609661825408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20033391456468277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12732746003672063,0.24313184832746518,0.0,0.0,2,5,-0.9242941319426874,-0.8861152073627044
Book 114: The Mystery,Ernest Hemingway,3.1,624.0,23.59,A wonderful saga about mystery,12 hours 26 minutes,Adventure,2021.0,3.1,624.0,23.59,2021.0,0.25657628453777415,0.0,0.0,0.4960407190835748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5025822966787858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30687169907953443,0.0,0.0,0.0,0.4704846026132201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16070783926391968,0.30687169907953443,0.0,0.0,5,0,-0.8368729112071905,-0.7972074847707963
Book 115: The Journey,Mark Twain,4.5,3337.0,25.39,A wonderful story about mystery,13 hours 23 minutes,Horror,2016.0,4.5,3337.0,25.39,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4098272517779981,0.4098272517779981,0.2669331645314099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19994008514361744,0.0,0.0,0.0,0.0,0.0,0.0,0.547081954884004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20544154670786832,0.0,0.0,0.0,0.3766711078298128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12786737327602804,0.0,0.23047301866058623,0.0,16,7,0.7988082740024868,0.8662866627591829
Book 116: The Tale,Leo Tolstoy,3.4,2986.0,23.69,A wonderful saga about love,11 hours 37 minutes,Comedy,2009.0,3.4,2986.0,23.69,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400596602886117,0.400596602886117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27192500197338093,0.0,0.5246405764348576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2442417340121189,0.0,0.0,0.3920257212252548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2012484296537406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12790870402482923,0.2442417340121189,0.0,0.0,13,3,0.5871886293255252,0.6510686584160119
Book 117: The Mystery,Bill Bryson,3.4,4213.0,11.72,A wonderful story about courage,12 hours 29 minutes,History,2006.0,3.4,4213.0,11.72,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278838617016763,0.0,0.0,0.5332909162581774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4074166719689597,0.4074166719689597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21072519418019225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21652341395972724,0.0,0.3707036534631047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1347647573699269,0.0,0.24290512618148427,0.0,2,6,1.326953028239006,1.4034119385558144
Book 118: The Mystery,Mark Twain,4.7,1320.0,23.86,A wonderful tale about mystery,6 hours 30 minutes,Self-Help,2001.0,4.7,1320.0,23.86,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39226817623273064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5144873837745669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39887008460759815,0.39887008460759815,0.0,0.0,0.0,0.0,0.0,0.19735373646637694,0.0,0.0,0.0,0.3899626276614483,0.0,0.0,0.0,0.0,0.0,0.12543332988637193,0.0,0.0,0.2376570060946212,16,13,-0.4172510516768052,-0.3704504163296369
Book 119: The Tale,Mark Twain,3.7,265.0,34.2,A wonderful saga about love,4 hours 55 minutes,Business,2019.0,3.7,265.0,34.2,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859831262370595,0.3859831262370595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2785574610723537,0.5275405245439301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25019897699949284,0.0,0.0,0.40158752886671006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20615703301394797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13102849529702107,0.25019897699949284,0.0,0.0,16,2,-1.0533157956488692,-1.0173307427742104
